CustomerID,CreditScore,Country,Gender,Age,TenureYears,Balance,NumOfProducts,HasCreditCard,IsActiveMember,EstimatedSalary,Churn
CUST20000,740,France,Female,22,10,82369.3,2,0,0,69774.63,0
CUST20001,675,Germany,Male,37,7,42899.3,1,1,1,58214.75,0
CUST20002,798,Spain,Female,36,7,46101.92,1,1,0,31524.43,0
CUST20003,734,Spain,Female,35,6,14304.23,2,0,0,108363.31,0
CUST20004,466,Spain,Female,63,3,40882.43,2,1,1,111786.86,0
CUST20005,560,Germany,Male,18,9,75484.68,1,0,1,37045.9,0
CUST20006,603,Germany,Female,46,0,87942.17,3,1,0,43273.59,0
CUST20007,594,Spain,Female,69,0,31792.41,2,0,1,91142.14,0
CUST20008,669,France,Male,63,6,69998.61,2,1,0,41576.28,0
CUST20009,700,Spain,Male,49,9,123864.99,2,0,1,93039.79,0
CUST20010,401,Spain,Female,69,8,0.0,1,1,0,151062.09,0
CUST20011,634,Spain,Male,38,7,74655.21,2,0,0,82307.98,0
CUST20012,369,France,Male,49,4,22706.88,2,0,1,30387.26,0
CUST20013,605,Spain,Female,46,3,17102.37,1,0,0,102644.66,0
CUST20014,561,Germany,Female,20,4,89355.63,2,0,0,77005.54,0
CUST20015,452,Germany,Male,20,2,45011.17,1,0,0,78242.93,0
CUST20016,845,France,Male,64,4,8075.83,2,0,1,106389.53,1
CUST20017,479,Germany,Male,27,1,147835.58,1,1,1,116096.68,0
CUST20018,378,Germany,Female,36,3,125604.92,1,1,0,86597.6,0
CUST20019,529,Spain,Female,50,10,0.0,2,1,1,82269.39,0
CUST20020,728,Germany,Male,47,7,0.0,2,0,0,177859.37,0
CUST20021,354,France,Female,44,1,107640.14,3,1,1,139024.93,0
CUST20022,596,Spain,Female,68,3,59331.94,2,1,0,122509.58,0
CUST20023,558,France,Male,58,2,157531.61,1,0,0,90904.27,1
CUST20024,782,Spain,Female,66,3,108898.5,2,0,0,39741.55,0
CUST20025,351,Spain,Male,52,7,91470.6,3,0,0,135732.39,0
CUST20026,358,France,Female,68,9,18797.55,1,1,0,91493.24,0
CUST20027,632,Spain,Male,49,7,102029.22,3,1,0,59027.39,1
CUST20028,439,Spain,Female,46,5,4832.98,2,0,0,74058.68,1
CUST20029,702,Germany,Female,60,1,146788.45,1,1,1,41521.78,0
CUST20030,489,Spain,Female,63,1,98217.62,3,1,0,132579.81,0
CUST20031,631,France,Female,21,8,29634.32,1,1,0,115736.67,1
CUST20032,368,Germany,Female,65,7,119257.26,2,1,1,93173.46,1
CUST20033,696,Germany,Male,53,5,198283.87,1,1,0,83074.65,0
CUST20034,609,Germany,Male,64,6,63031.06,2,0,1,54369.9,1
CUST20035,350,Spain,Female,55,9,105272.73,1,1,1,15000.0,0
CUST20036,482,Spain,Male,66,8,51249.39,1,0,1,21418.29,0
CUST20037,379,Germany,Female,32,0,79694.37,2,1,1,51580.96,0
CUST20038,372,Germany,Female,27,4,0.0,3,0,1,44816.51,0
CUST20039,699,Germany,Female,28,0,74970.88,1,0,0,98021.23,0
CUST20040,563,France,Male,31,4,77396.75,2,1,1,121517.22,0
CUST20041,751,Germany,Male,29,7,173944.88,3,1,1,79220.24,0
CUST20042,478,France,Male,40,2,0.0,1,1,1,148401.26,0
CUST20043,708,Spain,Female,28,1,59551.41,2,1,0,49769.6,0
CUST20044,657,Spain,Female,26,5,145846.45,3,1,0,78900.83,0
CUST20045,681,Spain,Female,45,5,61702.57,3,1,0,82705.58,0
CUST20046,764,Spain,Male,59,7,65576.22,1,1,1,134148.38,0
